#ID_survey field_ID i j k
0 0 0 0 0
0 42 1 0 0
0 6 0 1 0
0 48 1 1 0
0 12 0 2 0
0 54 1 2 0
0 18 0 3 0
0 50 1 1 2
0 98 2 2 2
0 68 1 4 2
0 206 4 6 2
0 39 0 6 3
1 84 2 0 0
1 126 3 0 0
1 168 4 0 0
1 90 2 1 0
1 132 3 1 0
1 174 4 1 0
1 180 4 2 0
1 134 3 1 2
1 182 4 2 2
1 20 0 3 2
1 80 1 6 2
1 123 2 6 3
2 60 1 3 0
2 24 0 4 0
2 66 1 4 0
2 30 0 5 0
2 72 1 5 0
2 36 0 6 0
2 78 1 6 0
2 110 2 4 2
2 80 1 6 2
2 86 2 0 2
2 14 0 2 2
2 189 4 3 3
3 96 2 2 0
3 138 3 2 0
3 102 2 3 0
3 144 3 3 0
3 186 4 3 0
3 150 3 4 0
3 192 4 4 0
3 146 3 3 2
3 194 4 4 2
3 164 3 6 2
3 50 1 1 2
3 93 2 1 3
4 108 2 4 0
4 114 2 5 0
4 156 3 5 0
4 198 4 5 0
4 120 2 6 0
4 162 3 6 0
4 204 4 6 0
4 158 3 5 2
4 128 3 0 2
4 176 4 1 2
4 62 1 3 2
4 69 1 4 3
5 37 0 6 1
5 79 1 6 1
5 31 0 5 1
5 73 1 5 1
5 25 0 4 1
5 67 1 4 1
5 19 0 3 1
5 45 1 0 3
5 93 2 1 3
5 51 1 1 3
5 201 4 5 3
5 34 0 5 4
6 121 2 6 1
6 163 3 6 1
6 205 4 6 1
6 115 2 5 1
6 157 3 5 1
6 199 4 5 1
6 193 4 4 1
6 129 3 0 3
6 177 4 1 3
6 15 0 2 3
6 75 1 5 3
6 118 2 5 4
7 61 1 3 1
7 13 0 2 1
7 55 1 2 1
7 7 0 1 1
7 49 1 1 1
7 1 0 0 1
7 43 1 0 1
7 111 2 4 3
7 69 1 4 3
7 117 2 5 3
7 15 0 2 3
7 178 4 1 4
8 109 2 4 1
8 151 3 4 1
8 103 2 3 1
8 145 3 3 1
8 187 4 3 1
8 139 3 2 1
8 181 4 2 1
8 159 3 5 3
8 207 4 6 3
8 165 3 6 3
8 63 1 3 3
8 106 2 3 4
9 97 2 2 1
9 91 2 1 1
9 133 3 1 1
9 175 4 1 1
9 85 2 0 1
9 127 3 0 1
9 169 4 0 1
9 147 3 3 3
9 147 3 3 3
9 195 4 4 3
9 51 1 1 3
9 46 1 0 4
10 170 4 0 2
10 128 3 0 2
10 176 4 1 2
10 134 3 1 2
10 182 4 2 2
10 140 3 2 2
10 188 4 3 2
10 10 0 1 4
10 184 4 2 4
10 28 0 4 4
10 166 3 6 4
10 125 2 6 5
11 86 2 0 2
11 44 1 0 2
11 2 0 0 2
11 92 2 1 2
11 50 1 1 2
11 8 0 1 2
11 14 0 2 2
11 136 3 1 4
11 100 2 2 4
11 64 1 3 4
11 82 1 6 4
11 41 0 6 5
12 146 3 3 2
12 194 4 4 2
12 152 3 4 2
12 200 4 5 2
12 158 3 5 2
12 206 4 6 2
12 164 3 6 2
12 196 4 4 4
12 40 0 6 4
12 172 4 0 4
12 100 2 2 4
12 149 3 3 5
13 98 2 2 2
13 56 1 2 2
13 104 2 3 2
13 62 1 3 2
13 20 0 3 2
13 68 1 4 2
13 26 0 4 2
13 148 3 3 4
13 112 2 4 4
13 166 3 6 4
13 52 1 1 4
13 11 0 1 5
14 110 2 4 2
14 116 2 5 2
14 74 1 5 2
14 32 0 5 2
14 122 2 6 2
14 80 1 6 2
